"course_title","price","num_subscribers","num_reviews","num_lectures","content_duration","is_paid.f","level.f","subject.f"
"Trend Traders Club: How To Find And Trade Fast Moving Trends",75,1513,31,60,5.5,"True","All Levels","Business Finance"
"Financial Statements Basics",20,1374,19,9,2,"True","Beginner Level","Business Finance"
"High performance Stock Trading using key Options techniques",40,2103,15,6,1.5,"True","All Levels","Business Finance"
"Introduction to Financial Statement Analysis",20,1480,25,25,1.5,"True","Beginner Level","Business Finance"
"Basics of Economics (College Level)",25,2516,12,20,1.5,"True","All Levels","Business Finance"
"Stock Market Investing for Beginners",0,50855,2698,15,1.5,"False","Beginner Level","Business Finance"
"Accounting for Beginners : Learn Basics in under 1 Hour",50,1971,13,20,1.5,"True","Beginner Level","Business Finance"
"Straddle Options Trading - Profit in Any Market Direction",200,837,9,19,1,"True","All Levels","Business Finance"
"Fundamentals of Forex Trading",0,17160,620,23,1,"False","All Levels","Business Finance"
"Binary Options: Trading Strategies, 90% Accuracy and Signals",195,1723,38,24,1,"True","Beginner Level","Business Finance"
"Website Investing 101 - Buying & Selling Online Businesses",0,6811,151,51,2,"False","All Levels","Business Finance"
"Practical Accounts & Bookkeeping Automated Overview ",20,2060,17,30,4.5,"True","All Levels","Business Finance"
"Live Account - ETF Trading System - Hacking The Stock Market",150,2318,19,16,5,"True","All Levels","Business Finance"
"Stock Market Leverage: How to Start Trading Options Wisely",95,2153,14,13,1.5,"True","Beginner Level","Business Finance"
"Stock Market Foundations",0,19339,794,9,2,"False","Beginner Level","Business Finance"
"Crash Course on Working Capital Management",20,3177,8,8,1,"True","All Levels","Business Finance"
"Advanced Accounting A Complete Study for CA / CMA / CFA / CS",150,1535,16,462,62,"True","All Levels","Business Finance"
"61% Profit In 1 Month - Crush Your Forex Trading Paradigm",20,1027,29,25,1.5,"True","All Levels","Business Finance"
"How to create a routine Trading",25,307,8,5,0.133333333333333,"True","All Levels","Business Finance"
"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",150,2096,48,29,0.683333333333333,"True","All Levels","Business Finance"
"Forex SOS Course: Trading Tweaks And Working Forex Strategy",50,1315,48,59,2.5,"True","Beginner Level","Business Finance"
"Introduction to Financial Modeling",0,29167,1463,8,1.5,"False","Intermediate Level","Business Finance"
"Quantitative Aptitude for Banking & Competitive Examinations",50,1056,1,42,3,"True","All Levels","Business Finance"
"Option Spreads and Credit Spreads Bundle",180,2212,194,24,4.5,"True","Expert Level","Business Finance"
"B Com Accountancy I (Paper ECO 02 IGNOU)",50,2946,6,284,31.5,"True","All Levels","Business Finance"
"FOREX TRADING - Learn in a quick + profitable way + support",100,271,48,47,3.5,"True","All Levels","Business Finance"
"Auditing Basics (Professional Course Level)",25,3771,10,35,2.5,"True","All Levels","Business Finance"
"Stock market Investing Encyclopedia: How to invest in stocks",200,3143,11,39,3,"True","Intermediate Level","Business Finance"
"Learn the basics of preparing accounting statements",20,1951,30,20,0.55,"True","Intermediate Level","Business Finance"
"Elliott Wave -Forex Trading With The Elliott Wave Theory",90,4022,35,14,1,"True","Expert Level","Business Finance"
"Corporate Finance - A Brief Introduction",0,11724,649,17,1.5,"False","Beginner Level","Business Finance"
"Excel functions to analyze and visualize data",20,2283,54,16,2,"True","Intermediate Level","Business Finance"
"Building Financial Statements in Excel",35,1181,1,18,1,"True","Beginner Level","Business Finance"
"Transfer Pricing A Complete Analysis",50,1852,3,14,2.5,"True","All Levels","Business Finance"
"Accounting: Get Hired Without Work Experience",100,4661,187,20,1,"True","All Levels","Business Finance"
"Forex Trading for Beginners - Basics",50,989,9,11,1,"True","All Levels","Business Finance"
"Basic Bookkeeping Hacks",20,5841,16,28,1.5,"True","All Levels","Business Finance"
"Complete Trading Plan Course for Stocks & Forex (10 Hours)",200,1087,14,61,9.5,"True","All Levels","Business Finance"
"Forex Trading with Fixed 'Risk through Options Trading""",200,611,4,26,1,"True","Beginner Level","Business Finance"
"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",60,1922,149,15,20,"True","All Levels","Business Finance"
"How to Pick The Right Penny Stocks To Invest In 2017",150,9015,65,23,2.5,"True","All Levels","Business Finance"
"Top 10 Trading Ideas in the Equities Market",20,661,4,12,1,"True","All Levels","Business Finance"
"Intro to Financial Modeling",105,1077,110,55,6,"True","Beginner Level","Business Finance"
"Shark Accounting - Building a Business by the Numbers!",20,6050,140,17,1.5,"True","Beginner Level","Business Finance"
"Forex Trading MAKE YOUR FIRST TRADE TODAY!",150,3523,46,45,4,"True","All Levels","Business Finance"
"Accounting in 60 Minutes - A Brief Introduction",0,56659,4397,16,1.5,"False","Beginner Level","Business Finance"
"SAP FICO For Beginners - A Guide to SAP Financial Accounts",100,1444,101,59,5,"True","Beginner Level","Business Finance"
"Learn how to double your Forex Trading Account in one trade",60,2900,424,36,2.5,"True","Intermediate Level","Business Finance"
"Accounting Superpowers: Learn Accounts, Understand Business!",200,1437,96,34,2.5,"True","Beginner Level","Business Finance"
"Python Algo Trading: FX Trading with Oanda",200,453,42,33,3,"True","Intermediate Level","Business Finance"
"Save on Your Taxes",20,2437,12,23,1.5,"True","All Levels","Business Finance"
"Financial Model Basics: Build a model from start to finish",30,5057,142,13,1,"True","Beginner Level","Business Finance"
"Option Trading for Rookies: The Covered Call Option Strategy",95,6092,25,29,1.5,"True","Beginner Level","Business Finance"
"EFT for Stock Options Trading Success & Making Better Trades",95,4530,13,31,1.5,"True","All Levels","Business Finance"
"Learn to Trade the Stock Market without Blowing Your Profits",60,6967,16,34,1,"True","All Levels","Business Finance"
"Get a Credit Repair Publication On Amazon and Live LIFE..",20,727,11,25,3,"True","Beginner Level","Business Finance"
"Fundamentals of Accounting",20,1560,43,25,3,"True","All Levels","Business Finance"
"RSI, Options Trading & Technical Analysis (3 Course Bundle)",200,1047,9,46,3.5,"True","All Levels","Business Finance"
"Basics of Mutual Funds for CA / CMA / CS / CFA Exams",125,1045,2,17,1,"True","Intermediate Level","Business Finance"
"Accounting 101: How to read an Accounting Balance Sheet",200,3050,86,22,2,"True","Beginner Level","Business Finance"
"Stock Options Day Trading Mindset for Success",200,2988,21,43,4.5,"True","All Levels","Business Finance"
"Introduction to bookkeeping and Accounting",35,2623,158,20,1,"True","Beginner Level","Business Finance"
"Learn to Trade The News",200,1924,351,544,46.5,"True","All Levels","Business Finance"
"Value Investing, Taught by Six Superinvestors",200,3804,267,66,5,"True","All Levels","Business Finance"
"Trading for everyone - The Independent Investor Course I",120,4133,15,36,4,"True","Beginner Level","Business Finance"
"Get Acquired: Learn From The Head Of Acquisitions For eBay",195,1420,70,29,2.5,"True","All Levels","Business Finance"
"Stock Market investment: Practical Accounting",125,1120,6,43,3,"True","Beginner Level","Business Finance"
"How to remove 'Risk from Penny Stocks - Options Trading""",200,668,12,22,1,"True","All Levels","Business Finance"
"Accounting Basics in 66 Minutes (absolutely for beginners)",25,4086,31,14,1.5,"True","All Levels","Business Finance"
"Tax Accounting: Difficult Topic, Made Easy to Understand",200,1033,10,29,2,"True","All Levels","Business Finance"
"Analysis of Company Financial Statements",20,832,34,34,1.5,"True","All Levels","Business Finance"
"Forex Trading Like Banks – Step by Step with Live Examples",195,677,45,40,4.5,"True","All Levels","Business Finance"
"Fundamentals of Investing!",20,3125,54,13,2,"True","Beginner Level","Business Finance"
"Bank Financial Management A Comprehensive Study",50,1081,6,21,1.5,"True","All Levels","Business Finance"
"Learn to Trade Forex and Stocks: From Beginner to Advanced",200,1645,25,42,2,"True","All Levels","Business Finance"
"Master 'Technical Analysis and Chart reading skills Bundle""",120,3348,352,13,3,"True","All Levels","Business Finance"
"Naked Put Options Trade Covered Call & Poor Man Covered Call",200,939,7,19,1.5,"True","All Levels","Business Finance"
