"Name","Rating","Tags","Difficulty.f"
"Giving 2.0: The MOOC","4.6","['Business', 'Business Strategy']","None"
"Lesson | Business English Skills: Introducing Yourself in Business Settings","None","['Language Learning', 'Learning English']","Intermediate Level"
"Survey analysis to Gain Marketing Insights","4.4","['Business', 'Marketing']","None"
"Construction Project Management","4.8","['Business', 'Business Strategy']","Beginner Level"
"Ignite Your Everyday Creativity","4.4","['Personal Development', 'Personal Development']","None"
"Logic for Economists","4.4","['Math and Logic', 'Math and Logic']","Advanced Level"
"Introduction to the Nonprofit Sector, Nonprofit Organizations, Nonprofit Leadership and Governance","4.4","['Business', 'Leadership and Management']","None"
"Negocios Internacionales I","4.7","['Business', 'Business Strategy']","None"
"Физика в опытах. Часть 3. Колебания и молекулярная физика","4.8","['Physical Science and Engineering', 'Physics and Astronomy']","None"
"Mathematical Biostatistics Boot Camp 1","4.5","['Math and Logic', 'Math and Logic']","None"
"Introduction to Research for Essay Writing","4.7","['Arts and Humanities', 'Music and Art']","None"
"Intelligence Tools for the Digital Age","4.6","['Business', 'Leadership and Management']","Beginner Level"
"Tinkering Fundamentals: Circuits","4.7","['Personal Development', 'Personal Development']","Beginner Level"
"Marketing Internacional en Asia","4.8","['Business', 'Marketing']","Beginner Level"
"Foundations of Public Health Practice: Behaviour & Behaviour Change","None","['Health', 'Public Health']","Advanced Level"
"Designing, Running, and Analyzing Experiments","3.7","['Computer Science', 'Design and Product']","Intermediate Level"
"Контекстная реклама. Google AdWords","4.6","['Business', 'Marketing']","Intermediate Level"
"Valuation for Startups Using Multiple Approach","4.2","['Business', 'Finance']","Beginner Level"
"Gestion et Politique de l'eau","4.6","['Social Sciences', 'Law']","None"
"Бизнес-процессы, организационное проектирование, механизмы и системы управления","4.3","['Business', 'Leadership and Management']","Intermediate Level"
"Administração Financeira","4.8","['Business', 'Finance']","Beginner Level"
"Global Postharvest Loss Prevention: Fundamentals, Technologies, and Actors","4.8","['Physical Science and Engineering', 'Environmental Science and Sustainability']","Beginner Level"
"Blockchain Platforms","4.6","['Computer Science', 'Software Development']","Intermediate Level"
"Invitation to Mathematics     הזמנה למתמטיקה","4.5","['Math and Logic', 'Math and Logic']","None"
"Человеческий фактор в разработке корпоративных систем","None","['Business', 'Leadership and Management']","None"
"Креативная коммуникация: методы и инструменты","4.7","['Arts and Humanities', 'Music and Art']","Advanced Level"
"Creating New BigQuery Datasets and Visualizing Insights","4.6","['Information Technology', 'Data Management']","Beginner Level"
"Mindware: Critical Thinking for the Information Age","4.7","['Health', 'Psychology']","Beginner Level"
"Healthy Practices: Nutrition, Physical Activity, and Community and Family Participation","4.9","['Health', 'Nutrition']","Beginner Level"
"Android App Components - Services, Local IPC, and Content Providers","4.3","['Computer Science', 'Mobile and Web Development']","Beginner Level"
"Big Data: visualización de datos","4.6","['Data Science', 'Data Analysis']","Intermediate Level"
"Strategic Career Self-Management","4.4","['Personal Development', 'Personal Development']","None"
"Web Connectivity and Security in Embedded Systems","4.6","['Computer Science', 'Computer Security and Networks']","Intermediate Level"
"Introduction to Spreadsheets and Models","4.2","['Business', 'Business Essentials']","None"
"Powerful Tools for Teaching and Learning: Web 2.0 Tools","4.6","['Social Sciences', 'Education']","Beginner Level"
"Social Media Data Analytics","4.1","['Data Science', 'Data Analysis']","Intermediate Level"
"Advanced Portfolio Construction and Analysis with Python","4.8","['Business', 'Finance']","Intermediate Level"
"Marketing Analytics","4.6","['Business', 'Marketing']","Beginner Level"
"Creativity Toolkit I: Changing Perspectives","4.7","['Business', 'Entrepreneurship']","None"
"The Importance and Power of Music in our Society","4.6","['Arts and Humanities', 'Music and Art']","Beginner Level"
"International Security Management","None","['Social Sciences', 'Governance and Society']","Beginner Level"
"International Law In Action: Investigating and Prosecuting International Crimes","4.8","['Social Sciences', 'Law']","None"
"Decision-Making and Scenarios","4.6","['Business', 'Business Essentials']","None"
"Fundamentals of Visualization with Tableau","4.5","['Data Science', 'Data Analysis']","Beginner Level"
"Data Mining Project","4.6","['Data Science', 'Data Analysis']","None"
"Diode - pn Junction and Metal Semiconductor Contact","4.1","['Physical Science and Engineering', 'Electrical Engineering']","Advanced Level"
"Managerial Economics and Business Analysis Capstone","4.6","['Business', 'Business Essentials']","Beginner Level"
"A Life of Happiness and Fulfillment","4.8","['Health', 'Psychology']","None"
"Machine Learning with Python","4.7","['Data Science', 'Machine Learning']","Intermediate Level"
"The Music of the Rolling Stones, 1962-1974","4.8","['Arts and Humanities', 'Music and Art']","None"
