"Name","Rating","Tags","Difficulty.f"
"Bioconductor for Genomic Data Science","3.9","['Data Science', 'Data Analysis']","None"
"User Experience: Research & Prototyping","4.6","['Computer Science', 'Design and Product']","None"
"Iniciação e Planejamento de Projetos","4.8","['Business', 'Leadership and Management']","Beginner Level"
"Constitutional Struggles in the Muslim World","4.8","['Social Sciences', 'Law']","None"
"Academic Skills for University Success: Capstone","None","['Social Sciences', 'Education']","None"
"Китайский для начинающих (Chinese for beginners)","4.8","['Language Learning', 'Other Languages']","Beginner Level"
"Analytical Solutions to Common Healthcare Problems","None","['Health', 'Health Informatics']","Intermediate Level"
"Information Visualization: Advanced Techniques","4.7","['Data Science', 'Data Analysis']","Intermediate Level"
"Физика в опытах. Часть 4. Волны и оптика","5","['Physical Science and Engineering', 'Physics and Astronomy']","None"
"Optimizing a Website for Search","4.7","['Business', 'Marketing']","Intermediate Level"
"Arts and Culture Strategy","4.6","['Social Sciences', 'Governance and Society']","None"
"Data Visualization and Communication with Tableau","4.7","['Data Science', 'Data Analysis']","None"
"Psychodiagnostics and Psychological Assessment","4","['Personal Development', 'Personal Development']","Intermediate Level"
"البرمجة للجميع - بدء استخدام بايثون","4.5","['Computer Science', 'Software Development']","None"
"Prehospital care of acute stroke and patient selection for endovascular treatment using the RACE scale","4.8","['Health', 'Patient Care']","Intermediate Level"
"Interactivity with JavaScript","4.7","['Computer Science', 'Mobile and Web Development']","None"
"Advanced Engineering Systems in Motion: Dynamics of Three Dimensional (3D) Motion","4.8","['Physical Science and Engineering', 'Mechanical Engineering']","None"
"Serverless Machine Learning with Tensorflow on Google Cloud Platform 日本語版","4.6","['Data Science', 'Machine Learning']","Intermediate Level"
"Chinese for HSK 5","4.6","['Language Learning', 'Other Languages']","Advanced Level"
"App Deployment, Debugging, and Performance","4.5","['Computer Science', 'Software Development']","Intermediate Level"
"Introduction to the Arctic: Climate","4.5","['Physical Science and Engineering', 'Environmental Science and Sustainability']","None"
"Religion and Thought in Modern China: the Song, Jin, and Yuan","4.7","['Arts and Humanities', 'History']","None"
"Ebola: Essential Knowledge for Health Professionals","4.6","['Health', 'Patient Care']","None"
"Media ethics & governance","4.6","['Social Sciences', 'Governance and Society']","Intermediate Level"
"Take the Lead on Healthcare Quality Improvement","4.3","['Personal Development', 'Personal Development']","Beginner Level"
"Пользовательский интерфейс","None","['Computer Science', 'Mobile and Web Development']","Intermediate Level"
"Converter Control","4.8","['Physical Science and Engineering', 'Electrical Engineering']","None"
"Presentation skills:  Effective Presentation Delivery","4.6","['Personal Development', 'Personal Development']","None"
"Банковское дело и финансы","4.7","['Business', 'Finance']","Intermediate Level"
"Responsive Website Development and Design Capstone","4.7","['Computer Science', 'Mobile and Web Development']","None"
"Negotiation skills: Negotiate and resolve conflict","None","['Business', 'Business Essentials']","Beginner Level"
"Менеджмент информационной безопасности","4.8","['Computer Science', 'Computer Security and Networks']","Intermediate Level"
"Anatomy: Gastrointestinal, Reproductive and Endocrine Systems","4.9","['Health', 'Basic Science']","Beginner Level"
"Principles of Corporate Finance –  A Tale of Value","5","['Business', 'Finance']","Intermediate Level"
"《MBA论文写作指导》","None","['Social Sciences', 'Economics']","Intermediate Level"
"Animer une séance collaborative","4.5","['Business', 'Leadership and Management']","Beginner Level"
"Constructivism and Mathematics, Science, and Technology Education","None","['Social Sciences', 'Education']","None"
"An Introduction to the U.S. Food System: Perspectives from Public Health","4.8","['Health', 'Public Health']","Beginner Level"
"Leveraging Unstructured Data with Cloud Dataproc on Google Cloud Platform em Português Brasileiro","4.6","['Data Science', 'Data Analysis']","Intermediate Level"
"La comunicación laboral en el siglo XXI","4.4","['Business', 'Leadership and Management']","None"
"Produção final do músico moderno","None","['Arts and Humanities', 'Music and Art']","Intermediate Level"
"An Introduction to Practical Deep Learning","4.3","['Computer Science', 'Software Development']","Intermediate Level"
"Business English: Final Project","4.6","['Language Learning', 'Learning English']","Intermediate Level"
"Engagement & Nurture Marketing Strategies","4.7","['Business', 'Marketing']","None"
"Reliable Cloud Infrastructure: Design and Process dalam bahasa Indonesia","4.9","['Information Technology', 'Cloud Computing']","Intermediate Level"
"Evaluación para el aprendizaje: Enfoque cualitativo","None","['Social Sciences', 'Education']","Intermediate Level"
"مقاييس الأعمال للشركات التي تعتمد على البيانات","None","['Data Science', 'Data Analysis']","None"
"Autodesk Fusion 360 Integrated CAD/CAM/CAE","4.7","['Physical Science and Engineering', 'Mechanical Engineering']","Intermediate Level"
"Genome Assembly Programming Challenge","4.4","['Computer Science', 'Algorithms']","Advanced Level"
"Gestión Empresarial Exitosa para Pymes","4.8","['Business', 'Entrepreneurship']","None"
"Ecosystems of California","4.5","['Health', 'Basic Science']","Beginner Level"
"Учимся понимать ребёнка: руководство для взрослых","4.8","['Health', 'Psychology']","Beginner Level"
"Understanding the Australian economy: An introduction to macroeconomic and financial policies","None","['Social Sciences', 'Economics']","None"
"Desarrollo de Videojuegos en Unity: Una Introducción","4.5","['Computer Science', 'Design and Product']","Beginner Level"
"Ubiquitous Learning and Instructional Technologies","None","['Social Sciences', 'Education']","None"
"Kinetics: Studying Spacecraft Motion","4.8","['Physical Science and Engineering', 'Physics and Astronomy']","Advanced Level"
"Digital Media and Marketing Strategies","4.4","['Business', 'Marketing']","None"
"Математические методы в психологии. Основы применения (Mathematical Methods in Psychology: Basics of Applying)","4.8","['Health', 'Psychology']","None"
"Agile Meets Design Thinking","4.7","['Computer Science', 'Design and Product']","Beginner Level"
"Экономика для неэкономистов (Economics for non-economists)","4.9","['Social Sciences', 'Economics']","Beginner Level"
"Sales Strategy","4.5","['Business', 'Business Strategy']","Intermediate Level"
"Data Science Project: MATLAB for the Real World","None","['Data Science', 'Data Analysis']","Intermediate Level"
"iMOOC102: Mastering American e-Learning","4.1","['Social Sciences', 'Education']","None"
"Astrobiology and the Search for Extraterrestrial Life","4.7","['Physical Science and Engineering', 'Physics and Astronomy']","None"
"Community Change in Public Health","4.6","['Health', 'Public Health']","None"
"Art and Science of Machine Learning en Español","4.8","['Data Science', 'Machine Learning']","Intermediate Level"
"Viral Marketing and How to Craft Contagious Content","4.7","['Business', 'Marketing']","None"
"Bayesian Statistics: Techniques and Models","4.8","['Data Science', 'Probability and Statistics']","Intermediate Level"
"Positive Psychology: Martin E. P. Seligman’s Visionary Science","4.8","['Health', 'Psychology']","Beginner Level"
"Tu consultorio de Coaching en las ondas","4.9","['Business', 'Leadership and Management']","Beginner Level"
"Geospatial Analysis Project","4.8","['Data Science', 'Data Analysis']","None"
"Getting Started With Application Development","4.5","['Computer Science', 'Software Development']","Intermediate Level"
"Measuring Disease in Epidemiology","4.7","['Health', 'Public Health']","Beginner Level"
"Evolution: A Course for Educators","4.7","['Health', 'Basic Science']","None"
"Introduction to Multilingual and Multicultural Education","4.4","['Arts and Humanities', 'History']","Beginner Level"
"Roadmap to Success in Digital Manufacturing & Design","4.6","['Physical Science and Engineering', 'Mechanical Engineering']","Beginner Level"
"Capstone:  Autonomous Runway Detection for IoT","4.7","['Computer Science', 'Software Development']","Advanced Level"
"Géopolitique de l'Europe","4.6","['Social Sciences', 'Governance and Society']","None"
"Proyecto de diseño instruccional para el aprendizaje activo en ambientes digitales","3.3","['Social Sciences', 'Education']","Beginner Level"
"Intro to TensorFlow en Español","4.4","['Data Science', 'Machine Learning']","Intermediate Level"
"Gestión integral del riesgo de desastres","4.9","['Physical Science and Engineering', 'Environmental Science and Sustainability']","Beginner Level"
"Version Control with Git","4.7","['Computer Science', 'Software Development']","None"
"Pointers, Arrays, and Recursion","4.5","['Computer Science', 'Software Development']","Beginner Level"
"Just Reading and Writing English 1","None","['Language Learning', 'Learning English']","Intermediate Level"
"Usos Didácticos del Cine: Introducción al Análisis","4.6","['Social Sciences', 'Education']","Intermediate Level"
"Capstone: Creating A Sustainability Proposal","None","['Business', 'Leadership and Management']","Intermediate Level"
"Mechanics: Motion, Forces, Energy and Gravity, from Particles to Planets","4.4","['Physical Science and Engineering', 'Physics and Astronomy']","Beginner Level"
"Developing Your Musicianship: Final Project","4.8","['Arts and Humanities', 'Music and Art']","Intermediate Level"
"Single Variable Calculus","4.8","['Math and Logic', 'Math and Logic']","None"
"Combining and Analyzing Complex Data","4.2","['Data Science', 'Data Analysis']","None"
"Estructura de capital y política de dividendos","3.6","['Business', 'Finance']","Intermediate Level"
"US Social Services: Where did they come from?","4.8","['Social Sciences', 'Governance and Society']","Beginner Level"
"Professional IQ Capstone","None","['Business', 'Business Essentials']","Beginner Level"
"Computational Thinking for K-12 Educators: Abstraction, Methods, and Lists","None","['Social Sciences', 'Education']","Beginner Level"
"Bitcoin and Cryptocurrency Technologies","4.7","['Computer Science', 'Computer Security and Networks']","None"
"Beyond Silicon Valley: Growing Entrepreneurship in Transitioning Economies","4.4","['Business', 'Entrepreneurship']","None"
"Modern Art & Ideas","4.7","['Arts and Humanities', 'Music and Art']","Beginner Level"
"Álgebra Básica","4.8","['Math and Logic', 'Math and Logic']","None"
"Cybersecurity and the Internet of Things","4.5","['Computer Science', 'Computer Security and Networks']","Intermediate Level"
"Deep Learning in Computer Vision","3.8","['Computer Science', 'Algorithms']","Advanced Level"
"Design and Interpretation of Clinical Trials","4.7","['Health', 'Research']","None"
"Business Analytics Executive Overview","4.5","['Business', 'Leadership and Management']","Intermediate Level"
"Big Data Modeling and Management Systems","4.4","['Data Science', 'Data Analysis']","None"
"Ser más creativos","4.6","['Personal Development', 'Personal Development']","None"
"Strengthening Your Widening Network","4.3","['Personal Development', 'Personal Development']","Intermediate Level"
"The Politics of Skepticism","4.6","['Arts and Humanities', 'Philosophy']","Intermediate Level"
"Applying Investment Decision Rules for Startups","4.5","['Business', 'Finance']","Beginner Level"
"China Strategy","4.8","['Business', 'Business Strategy']","Beginner Level"
"Evaluación de peligros y riesgos por fenómenos naturales","4.8","['Physical Science and Engineering', 'Environmental Science and Sustainability']","Beginner Level"
"Modeling and Debugging Embedded Systems","4.5","['Computer Science', 'Design and Product']","Intermediate Level"
"Entrepreneurship 2: Launching your Start-Up","4.8","['Business', 'Entrepreneurship']","None"
"Networking in GCP: Defining and Implementing Networks","4.9","['Information Technology', 'Networking']","Intermediate Level"
"Создание Web-сервисов на Python","4.2","['Computer Science', 'Software Development']","Intermediate Level"
"Getting Started with Essay Writing","4.7","['Arts and Humanities', 'Music and Art']","None"
"Marketing Management I","4.8","['Business', 'Marketing']","None"
"Sensors and Sensor Circuit Design","4.6","['Physical Science and Engineering', 'Electrical Engineering']","Advanced Level"
"Data Collection and Processing with Python","4.7","['Computer Science', 'Software Development']","Intermediate Level"
"Women in environmental biology","None","['Health', 'Basic Science']","Beginner Level"
"Budgeting and Scheduling Projects","4.7","['Business', 'Leadership and Management']","None"
"Архитектура Android-приложений","None","['Computer Science', 'Mobile and Web Development']","Intermediate Level"
"Marketing estratégico: claves para competir con éxito","4.8","['Business', 'Marketing']","Beginner Level"
"Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential","4.8","['Personal Development', 'Personal Development']","Beginner Level"
"General Academic English","None","['Language Learning', 'Learning English']","Advanced Level"
"Health Care IT: Challenges and Opportunities","4.6","['Health', 'Healthcare Management']","None"
"Fundamentals of Engineering Exam Review","4.7","['Physical Science and Engineering', 'Mechanical Engineering']","None"
"BIM Fundamentals for Engineers","4.6","['Physical Science and Engineering', 'Mechanical Engineering']","Beginner Level"
"Cryptography","4.6","['Information Technology', 'Security']","Beginner Level"
"Основы программирования на Python","4.7","['Computer Science', 'Algorithms']","Beginner Level"
"Build Your Professional ePortfolio in English","4.6","['Language Learning', 'Learning English']","None"
"Data Structures and Design Patterns for Game Developers","4.6","['Computer Science', 'Software Development']","Intermediate Level"
"Spanish Vocabulary Project","4.4","['Language Learning', 'Other Languages']","Beginner Level"
"Overview of Advanced Methods of Reinforcement Learning in Finance","3.8","['Computer Science', 'Algorithms']","Advanced Level"
"Business Application of Machine Learning and Artificial Intelligence in Healthcare","3.9","['Business', 'Business Strategy']","Intermediate Level"
"Modelos de diseño instruccional para ambientes digitales","4.6","['Social Sciences', 'Education']","Beginner Level"
"DNA Decoded","4.8","['Health', 'Basic Science']","Intermediate Level"
"Food & Beverage Management","4.8","['Business', 'Leadership and Management']","None"
"R Programming","4.6","['Data Science', 'Data Analysis']","Intermediate Level"
"Scaling Operations: Linking Strategy and Execution","4.6","['Business', 'Business Strategy']","None"
"Bugs 101: Insect-Human Interactions","4.9","['Health', 'Basic Science']","Beginner Level"
"Content Strategy for Professionals: Ensuring Your Content's Impact","4.6","['Business', 'Marketing']","None"
"User Research and Design","4.6","['Computer Science', 'Design and Product']","None"
"Обучение на размеченных данных","4.8","['Data Science', 'Machine Learning']","Intermediate Level"
"Oceanografía: una clave para entender mejor nuestro mundo","4.7","['Physical Science and Engineering', 'Environmental Science and Sustainability']","None"
"Essential Epidemiologic Tools for Public Health Practice","None","['Health', 'Public Health']","Beginner Level"
"Introduction to Recommender Systems:  Non-Personalized and Content-Based","4.5","['Data Science', 'Machine Learning']","Intermediate Level"
"Think Again III: How to Reason Inductively","4.8","['Personal Development', 'Personal Development']","Beginner Level"
"Технология ведения международных переговоров","None","['Business', 'Business Strategy']","Beginner Level"
"Introdução à Ciência da Computação com Python Parte 2","4.9","['Computer Science', 'Software Development']","Beginner Level"
"Entrepreneurship Capstone","4.6","['Business', 'Entrepreneurship']","Beginner Level"
"Computer Science: Programming with a Purpose","4.8","['Computer Science', 'Software Development']","Beginner Level"
"Cluster Analysis in Data Mining","4.4","['Data Science', 'Data Analysis']","None"
"SMM-кампания: цели, стратегия, алгоритмы и маркетинговый потенциал","4.9","['Business', 'Marketing']","Beginner Level"
"Aspectos básicos de la asistencia técnica","4.9","['Information Technology', 'Support and Operations']","Beginner Level"
"Doğrusal Cebir II: Kare Matrisler, Hesaplama Yöntemleri ve Uygulamalar / Linear Algebra II: Square Matrices, Calculation Methods and Applications","4.5","['Math and Logic', 'Math and Logic']","None"
"Iniciación a los jeroglíficos egipcios","5","['Arts and Humanities', 'History']","Beginner Level"
"Curanderismo: Traditional Healing Using Plants","4.7","['Arts and Humanities', 'History']","Beginner Level"
"Analyse numérique pour ingénieurs","4.5","['Math and Logic', 'Math and Logic']","Intermediate Level"
"Организационные практики и инструменты в работе лидера образовательной организации","None","['Social Sciences', 'Education']","Intermediate Level"
"Math behind Moneyball","4.5","['Data Science', 'Data Analysis']","Beginner Level"
"Malicious Software and its Underground Economy: Two Sides to Every Story","None","['Computer Science', 'Software Development']","None"
"Reliable Cloud Infrastructure: Design and Process","4.7","['Information Technology', 'Cloud Computing']","Intermediate Level"
"Hardware Description Languages for FPGA Design","3.8","['Physical Science and Engineering', 'Electrical Engineering']","Intermediate Level"
"How To Teach Us","4.3","['Social Sciences', 'Education']","None"
"Mechanics of Materials IV: Deflections, Buckling, Combined Loading & Failure Theories","4.8","['Physical Science and Engineering', 'Mechanical Engineering']","Intermediate Level"
"Cómo entrenar a tus electrones 3: Aplicaciones interesantes","None","['Physical Science and Engineering', 'Electrical Engineering']","Beginner Level"
"Architecting with Google Kubernetes Engine: Foundations en Español","None","['Computer Science', 'Software Development']","Intermediate Level"
"Doing Clinical Research: Biostatistics with the Wolfram Language","None","['Data Science', 'Data Analysis']","Beginner Level"
"Serverless Machine Learning with Tensorflow on Google Cloud Platform en Français","None","['Data Science', 'Machine Learning']","Intermediate Level"
"Ordered Data Structures","4.8","['Computer Science', 'Software Development']","None"
"European Business Law: Understanding the Fundamentals","4.8","['Business', 'Business Essentials']","None"
"Visual Perception for Self-Driving Cars","4.6","['Computer Science', 'Software Development']","Advanced Level"
"Астрофизика: от звезд до границ Вселенной","4.8","['Physical Science and Engineering', 'Physics and Astronomy']","None"
"Financing for Startup Businesses","None","['Business', 'Finance']","Intermediate Level"
"Developing the Opportunity for Corporate Entrepreneurs","4.4","['Business', 'Entrepreneurship']","Beginner Level"
"Accounting for Business Decision Making: Strategy Assessment and Control","4.1","['Business', 'Business Essentials']","Beginner Level"
"Supporting Parents of a Newborn Baby","4.5","['Health', 'Patient Care']","Beginner Level"
"Arch of Titus: Rome and the Menorah","4.5","['Arts and Humanities', 'History']","None"
"Fundamentals of Fluid-Solid Interactions","4.8","['Physical Science and Engineering', 'Mechanical Engineering']","Intermediate Level"
"Русский как иностранный: B1+. Russian as a foreign language: B1+","4.8","['Language Learning', 'Other Languages']","Intermediate Level"
"Performance Assessment in the Virtual Classroom","4.2","['Social Sciences', 'Education']","None"
"Introdução ao Big Data","4.6","['Data Science', 'Data Analysis']","Beginner Level"
"Les alliances qui changent les territoires : partenariats entre acteurs publics, acteurs privés et structures d'intérêt général pour le bien commun","4.5","['Social Sciences', 'Economics']","Beginner Level"
"Writing, Running, and Fixing Code in C","4.5","['Computer Science', 'Software Development']","Beginner Level"
"Anatomy of the Abdomen and Pelvis; a journey from basis to clinic.","4.7","['Health', 'Basic Science']","None"
"Introduction to Systems Engineering","4.7","['Physical Science and Engineering', 'Electrical Engineering']","None"
"Pricing Strategy","4.6","['Business', 'Marketing']","None"
"Industrial IoT Markets and Security","4.6","['Computer Science', 'Design and Product']","Intermediate Level"
"Risk, Return & Valuation","4.8","['Business', 'Finance']","Beginner Level"
"Mastering Software Development in R Capstone","4.1","['Data Science', 'Data Analysis']","Intermediate Level"
"Game Theory","4.6","['Social Sciences', 'Economics']","Beginner Level"
"Jewish Diaspora in Modern China","4.3","['Social Sciences', 'Governance and Society']","None"
"Pluralidades em Português Brasileiro","4.8","['Language Learning', 'Other Languages']","Advanced Level"
"Essential Cloud Infrastructure: Foundation dalam bahasa Indonesia","4.9","['Information Technology', 'Cloud Computing']","Intermediate Level"
"Business Applications of Hypothesis Testing and Confidence Interval Estimation","4.8","['Data Science', 'Data Analysis']","None"
"An Intuitive Introduction to Probability","4.7","['Data Science', 'Probability and Statistics']","Beginner Level"
"Business Model Innovation for Sustainable Landscape Restoration","4.5","['Business', 'Business Strategy']","Beginner Level"
"The Mediterranean, a Space of Exchange (from the Renaissance to Enlightenment)","4.3","['Arts and Humanities', 'History']","None"
"Healthy Aging and the Future of Cannabis Research","4.7","['Health', 'Public Health']","Beginner Level"
"Semiconductor Physics","4.3","['Physical Science and Engineering', 'Electrical Engineering']","Advanced Level"
"Communicating Climate Change and Health","5","['Health', 'Public Health']","Intermediate Level"
"Essential Design Principles for Tableau","4.5","['Data Science', 'Data Analysis']","Beginner Level"
"Развитие карьеры в 50+","None","['Personal Development', 'Personal Development']","Beginner Level"
"Financial Management Capstone","4.7","['Business', 'Finance']","None"
"Investments I: Fundamentals of Performance Evaluation","4.8","['Business', 'Finance']","None"
"Actualización en el manejo del paciente con diabetes mellitus tipo 2","4.8","['Health', 'Nutrition']","None"
"The History of Modern Israel -  Part II: Challenges of Israel as a sovereign state","4.8","['Arts and Humanities', 'History']","Beginner Level"
"Methods and Statistics in Social Science - Final Research Project","4","['Health', 'Psychology']","Beginner Level"
"Linear Regression and Modeling","4.7","['Data Science', 'Data Analysis']","Beginner Level"
"Game Theory II: Advanced Applications","4.7","['Social Sciences', 'Economics']","Advanced Level"
"Detecting and Mitigating Cyber Threats and Attacks","4.7","['Information Technology', 'Security']","Beginner Level"
"Statistics for Researchers: Understanding Mediation, Moderation and Beyond","4.4","['Data Science', 'Data Analysis']","Beginner Level"
"Зоопсихология","None","['Health', 'Psychology']","Beginner Level"
"Negocios Internacionales II","4.7","['Business', 'Business Strategy']","None"
"Building Resilient Streaming Systems on Google Cloud Platform en Français","None","['Data Science', 'Data Analysis']","Intermediate Level"
"Prediction and Control with Function Approximation","4.8","['Data Science', 'Machine Learning']","Intermediate Level"
"Schizophrenia","4.7","['Health', 'Psychology']","Intermediate Level"
"Programming Languages, Part A","4.9","['Computer Science', 'Software Development']","Intermediate Level"
"Fundamentals of the Chinese character writing (Part 1)","4","['Arts and Humanities', 'History']","Beginner Level"
"Основы вирусологии (Introduction to Virology)","4.8","['Health', 'Basic Science']","None"
"Effective Communication Capstone Project","4.8","['Business', 'Business Essentials']","Beginner Level"
"3D Interaction Design in Virtual Reality","4.5","['Computer Science', 'Design and Product']","Intermediate Level"
"Basic Statistics","4.7","['Data Science', 'Probability and Statistics']","Beginner Level"
"Battery State-of-Health (SOH) Estimation","4.9","['Physical Science and Engineering', 'Electrical Engineering']","Intermediate Level"
"Competencias Laborales: Perfiles, Evaluación y Capacitación.","4.3","['Social Sciences', 'Governance and Society']","Intermediate Level"
"Supply Chain Logistics","4.7","['Business', 'Business Essentials']","Beginner Level"
"Data Analysis and Reporting in SAS Visual Analytics","None","['Data Science', 'Data Analysis']","None"
"Structural Equation Model and its Applications | 结构方程模型及其应用 (粤语)","4.8","['Data Science', 'Data Analysis']","None"
"Business English for Cross-cultural Communication","4.7","['Language Learning', 'Learning English']","None"
"The Making of the US President: A Short History in Five Elections","4.5","['Arts and Humanities', 'History']","Beginner Level"
"Research for Impact","4.8","['Social Sciences', 'Governance and Society']","Beginner Level"
"Making Architecture","4.7","['Arts and Humanities', 'Music and Art']","Beginner Level"
"Systems Science and Obesity","4.7","['Health', 'Public Health']","Beginner Level"
"Setting Expectations & Assessing Performance Issues","4.7","['Business', 'Leadership and Management']","None"
"Understanding the Music Business: What is Music Worth?","4.6","['Arts and Humanities', 'Music and Art']","None"
"A Crash Course in Causality:  Inferring Causal Effects from Observational Data","4.7","['Data Science', 'Probability and Statistics']","Intermediate Level"
"Fundamentals of Rehearsing Music Ensembles","4.8","['Arts and Humanities', 'Music and Art']","None"
"The Rooseveltian Century","4.4","['Arts and Humanities', 'History']","None"
"Impact from digital transformation: A Nano course","None","['Business', 'Business Strategy']","Advanced Level"
"Preparing to Manage Human Resources","4.8","['Business', 'Leadership and Management']","None"
"Stochastic processes","4.5","['Math and Logic', 'Math and Logic']","Intermediate Level"
"Brand Management: Aligning Business, Brand and Behaviour","4.9","['Business', 'Entrepreneurship']","Beginner Level"
"ICT in Primary Education: Transforming children's learning across the curriculum","4.6","['Social Sciences', 'Education']","Beginner Level"
"The Science of Gastronomy","4.6","['Health', 'Basic Science']","None"
"Introduction to C# Programming and Unity","4.8","['Computer Science', 'Software Development']","Beginner Level"
"Proyecto final sobre negociación para un mejor clima laboral","4.5","['Business', 'Business Essentials']","None"
"Visionary leadership, identity & motivation: Become a meaning maker","4.7","['Business', 'Leadership and Management']","Beginner Level"
"Tricky American English Pronunciation","4.7","['Language Learning', 'Learning English']","Beginner Level"
"Data-driven Decision Making","4.6","['Data Science', 'Data Analysis']","Beginner Level"
"Python Classes and Inheritance","4.7","['Computer Science', 'Software Development']","Intermediate Level"
"Transforming Communities","None","['Business', 'Leadership and Management']","Beginner Level"
"Techniques for Teaching Adjectives and Adjective Clauses","4.2","['Language Learning', 'Learning English']","Intermediate Level"
"Understanding child development: from synapse to society","4.7","['Social Sciences', 'Education']","Beginner Level"
"SRS Documents: Requirements and Diagrammatic Notations","4.4","['Computer Science', 'Software Development']","Beginner Level"
"Biochemical Principles of Energy Metabolism","4.7","['Health', 'Basic Science']","Beginner Level"
"Quantum Mechanics","None","['Physical Science and Engineering', 'Mechanical Engineering']","Advanced Level"
"Creative Writing: The Craft of Plot","4.7","['Arts and Humanities', 'Music and Art']","None"
"idea 2 IMPACT: An Introduction to Translating Assistive Health Technologies and Other Products","None","['Health', 'Research']","Intermediate Level"
"Mountains 101","4.9","['Health', 'Basic Science']","None"
"Психология призвания","3.8","['Personal Development', 'Personal Development']","Intermediate Level"
"Challenging Forensic Science: How Science Should Speak to Court","4.8","['Social Sciences', 'Law']","Beginner Level"
"Paleontology: Ancient Marine Reptiles","4.8","['Health', 'Basic Science']","None"
"Exploring Beethoven's Piano Sonatas Part 4","4.9","['Arts and Humanities', 'History']","Intermediate Level"
"The Bible's Prehistory, Purpose, and Political Future","4.7","['Arts and Humanities', 'History']","None"
"Scholarly Communication","4.6","['Language Learning', 'Learning English']","Intermediate Level"
"Perspectivas de música colaborativa","None","['Arts and Humanities', 'Music and Art']","Intermediate Level"
"Business Intelligence Concepts, Tools, and Applications","4.4","['Data Science', 'Data Analysis']","None"
"Think Again IV: How to Avoid Fallacies","4.7","['Personal Development', 'Personal Development']","Beginner Level"
"Coberturas de riesgo con futuros y opciones para agrobusiness","4.4","['Business', 'Marketing']","Beginner Level"
"A la recherche du Grand Paris","4.9","['Social Sciences', 'Governance and Society']","Beginner Level"
"Transistor - Field Effect Transistor and Bipolar Junction Transistor","3.2","['Physical Science and Engineering', 'Electrical Engineering']","Advanced Level"
"Access Controls","4.6","['Information Technology', 'Security']","Beginner Level"
"Age of Cathedrals","4.7","['Arts and Humanities', 'History']","Beginner Level"
"Advanced Chemistry","4.7","['Physical Science and Engineering', 'Chemistry']","None"
"Introduction to Imagemaking","4.5","['Arts and Humanities', 'Music and Art']","Beginner Level"
"Antimicrobial resistance - theory and methods","4.6","['Health', 'Basic Science']","Intermediate Level"
"Communication Strategies for a Virtual Age","4.6","['Business', 'Leadership and Management']","Beginner Level"
"Teach English Now! Teaching Language Online","4.5","['Language Learning', 'Learning English']","Intermediate Level"
"Anticorrupción: Introducción a conceptos y perspectiva práctica","4.8","['Social Sciences', 'Governance and Society']","Beginner Level"
"Chino básico: Los viajes de negocios","4.6","['Language Learning', 'Other Languages']","None"
"Redacción de documentos empresariales de gran impacto","4.4","['Business', 'Business Essentials']","None"
"Прикладное управление рисками","None","['Business', 'Leadership and Management']","Beginner Level"
"Жизнь в почве","4.6","['Physical Science and Engineering', 'Environmental Science and Sustainability']","None"
"Знакомство с R и базовая статистика","4.9","['Data Science', 'Probability and Statistics']","Beginner Level"
"Machine Learning: Clustering & Retrieval","4.6","['Data Science', 'Data Analysis']","None"
"Donner un feedback utile","4.8","['Business', 'Business Essentials']","None"
"Operations Management: Analysis and Improvement Methods","4.6","['Business', 'Business Strategy']","None"
"تعّلم كيف تتعلم: أدوات ذهنية قوية لمساعدتك على إتقان موضوعات صعبة","4.8","['Personal Development', 'Personal Development']","None"
"全球卫生导论","4.5","['Health', 'Public Health']","Beginner Level"
"Managing G Suite 日本語版","None","['Computer Science', 'Computer Security and Networks']","Beginner Level"
"Методологические проблемы психологии","4.9","['Health', 'Psychology']","Beginner Level"
"Венчурный капитал","4.5","['Business', 'Finance']","None"
"How Music Can Change Your Life","4.7","['Arts and Humanities', 'Music and Art']","Beginner Level"
"Applied Plotting, Charting & Data Representation in Python","4.5","['Data Science', 'Data Analysis']","Intermediate Level"
"Content Strategy for Professionals: Capstone Project","4.7","['Business', 'Marketing']","Intermediate Level"
"Project Management Project","4.8","['Business', 'Business Essentials']","None"
"Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn)","4.9","['Personal Development', 'Personal Development']","None"
"Algorithms on Strings","4.5","['Computer Science', 'Algorithms']","Intermediate Level"
"Como criar jogos 2D para iPhone e iPad","4.3","['Computer Science', 'Mobile and Web Development']","Intermediate Level"
"Global Warming II: Create Your Own Models in Python","4.2","['Physical Science and Engineering', 'Environmental Science and Sustainability']","None"
"Python Programming: A Concise Introduction","4.6","['Computer Science', 'Software Development']","Beginner Level"
"Les Fondamentaux de la Négociation","4.7","['Business', 'Leadership and Management']","Beginner Level"
"Introduction to the Biology of Cancer","4.8","['Health', 'Basic Science']","Beginner Level"
"Marketing Mix Implementation Capstone","4.6","['Business', 'Marketing']","Intermediate Level"
"Home Networking Basics","4.7","['Information Technology', 'Networking']","Beginner Level"
"America's Written Constitution","4.7","['Social Sciences', 'Governance and Society']","None"
"Convolutional Neural Networks in TensorFlow","4.7","['Data Science', 'Machine Learning']","Intermediate Level"
"Fashion-иллюстрация: Скетчинг","None","['Arts and Humanities', 'Music and Art']","Beginner Level"
"Ebola : Vaincre ensemble !","4.4","['Health', 'Public Health']","None"
